個人
"仕訳日記帳"
00000125,"マジック                          "
"自27年 1月 1日","至27年12月31日","月分",
"日付","決修","伝票番号","部門コード","借方コード","借方名称","借方枝番","借方枝番摘要","貸方コード","貸方名称","貸方枝番","貸方枝番摘要","金額","摘要","税区分","対価","仕入区分","売上業種区分","消費税科目","売仕区分","ダミー3"
H27.3.31,0,,"",532,"外　　注　　費",1,"　店加工売上",999,"諸　　　　　口",,,261550,"３月分リフォームＳ㈱　店加工売上",11,,,,借,仕,
H27.3.31,0,,"",532,"外　　注　　費",2,"　オーダー売上",999,"諸　　　　　口",,,21999,"３月分リフォームＳ㈱　オーダー売上",11,,,,借,仕,
H27.3.31,0,,"",532,"外　　注　　費",7,"　服飾（店手配）売上",999,"諸　　　　　口",,,3520,"３月分リフォームＳ㈱　服飾（店手配）売上",11,,,,借,仕,
H27.3.31,0,,"",532,"外　　注　　費",9,"　付属品売上",999,"諸　　　　　口",,,7617,"３月分リフォームＳ㈱　付属品売上",11,,,,借,仕,
H27.3.31,0,,"",532,"外　　注　　費",13,"　店売商品加工売上",999,"諸　　　　　口",,,106148,"３月分リフォームＳ㈱　店売り商品加工売上",11,,,,借,仕,
H27.3.31,0,,"",732,"保　　険　　料",,,999,"諸　　　　　口",,,1270,"３月分リフォームＳ㈱　共済保険料",2,,,,借,仕,
H27.3.31,0,,"",732,"保　　険　　料",,,999,"諸　　　　　口",,,1500,"３月分リフォームＳ㈱　損害保険料",2,,,,借,仕,
H27.3.31,0,,"",722,"消　耗　品　費",,,999,"諸　　　　　口",,,5130,"３月分リフォームＳ㈱　加工承伝票代",11,,,,借,仕,
H27.3.31,0,,"",722,"消　耗　品　費",,,999,"諸　　　　　口",,,2430,"３月分リフォームＳ㈱　用品袋代",11,,,,借,仕,
H27.3.31,0,,"",722,"消　耗　品　費",,,999,"諸　　　　　口",,,1598,"３月分リフォームＳ㈱　用品袋代",11,,,,借,仕,
H27.3.31,0,,"",727,"販　売　促進費",,,999,"諸　　　　　口",,,12960,"３月分リフォームＳ㈱　定額負担金",11,,,,借,仕,
H27.3.31,0,,"",999,"諸　　　　　口",,,511,"売　　上　　高",998,"その他本部負担金",251,"３月分住商オットー１０％割引本部負担金",11,,,,貸,売,
H27.3.31,0,,"",999,"諸　　　　　口",,,511,"売　　上　　高",998,"その他本部負担金",65,"３月分ＱＶＣ・ＨＰクーポン",11,,,,貸,売,
H27.3.31,0,,"",724,"水　道　光熱費",1,"事業用：",999,"諸　　　　　口",,,11739,"事業用：３月分リフォームＳ㈱　店電気代",11,,,,借,仕,
H27.3.31,0,,"",831,"賃　　借　　料",1,"事業用：",999,"諸　　　　　口",,,7020,"事業用：３月分リフォームＳ㈱　店舗レジ使用料",11,,,,借,仕,
H27.3.31,0,,"",722,"消　耗　品　費",,,999,"諸　　　　　口",,,2808,"３月分リフォームＳ㈱　ミシン・アイロン部品代",11,,,,借,仕,
H27.3.31,0,,"",723,"通　　信　　費",1,"事業用：",999,"諸　　　　　口",,,3396,"事業用：３月分リフォームＳ㈱　店電話代",11,,,,借,仕,
H27.3.31,0,,"",166,"売　　掛　　金",,,999,"諸　　　　　口",,,755852,"３月分リフォームＳ㈱",,,,,,,
H27.3.31,0,,"",196,"店　主　勘　定",,,723,"通　　信　　費",3,"ドコモ　携帯電話代",1865,"共　通：３月分ドコモ　携帯電話代１０％経費不算入",11,,,,貸,仕,
H27.4.1,0,,"",722,"消　耗　品　費",,,999,"諸　　　　　口",,,302,"有隣堂　ノート代",11,,,,借,仕,
H27.4.1,0,,"",827,"新　聞　図書費",,,999,"諸　　　　　口",,,2592,"有隣堂　書籍代",11,,,,借,仕,
H27.4.1,0,,"",999,"諸　　　　　口",,,101,"現　　　　　金",,,2894,"有隣堂　書籍・ノート代",,,,,,,
H27.4.1,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,842,"事業用：ＧＲＡＮＤＵＯ　従業員おやつ代",11,,,,借,仕,
H27.4.1,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.4.1,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,216,"事業用：サンマルクカフェ　従業員飲物代",11,,,,借,仕,
H27.4.1,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,216,"シルク　紙コップ代",11,,,,借,仕,
H27.4.2,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,2062,"ユザワヤ　ハサミ他",11,,,,借,仕,
H27.4.2,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,730,"砂川タクシー　タクシー代",11,,,,借,仕,
H27.4.3,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.4.3,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,310,"ＪＲ東日本　電車代：",11,,,,借,仕,
H27.4.4,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,820,"新興タクシー㈱　タクシー代",11,,,,借,仕,
H27.4.4,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,730,"笠原タクシー　タクシー代",11,,,,借,仕,
H27.4.4,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,1695,"無印良品　カゴ代",11,,,,借,仕,
H27.4.4,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,3672,"事業用：アクアステーション　従業員水代",11,,,,借,仕,
H27.4.5,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.4.6,0,,"",726,"接　待　交際費",,,101,"現　　　　　金",,,1500,"ＫＩＯＳＫ　得意先お礼",11,,,,借,仕,
H27.4.6,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,6480,"事業用：カゴメ健康直送便　従業員飲物代",11,,,,借,仕,
H27.4.6,0,,"",826,"会　　議　　費",,,101,"現　　　　　金",,,7260,"甘太郎　打合せ食事代",11,,,,借,仕,
H27.4.7,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,1830,"フリマボックス　店用品",11,,,,借,仕,
H27.4.7,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,615,"事業用：㈱髙島屋　従業員おやつ代",11,,,,借,仕,
H27.4.7,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,340,"事業用：㈱髙島屋　従業員おやつ代",11,,,,借,仕,
H27.4.9,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,730,"ワールド交通㈱　タクシー代",11,,,,借,仕,
H27.4.9,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,100,"事業用：イオン東神奈川店　従業員飲物代",11,,,,借,仕,
H27.4.9,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.4.10,0,,"",827,"新　聞　図書費",,,101,"現　　　　　金",,,270,"福家書店　書籍代",11,,,,借,仕,
H27.4.10,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.4.10,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,18360,"冷機サービス　アイロンスイッチ交換代",11,,,,借,仕,
H27.4.11,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,91,"事業用：イオン東神奈川店　従業員飲物代",11,,,,借,仕,
H27.4.11,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,354,"イオン東神奈川店　電池代",11,,,,借,仕,
H27.4.11,0,,"",613,"材　料　仕入高",,,101,"現　　　　　金",,,108,"トップ　安全ピン代",11,,,,借,仕,
H27.4.12,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,750,"事業用：ＫＩＯＳＫ　従業員おやつ代",11,,,,借,仕,
H27.4.12,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,409,"共　通：ガスト　従業員早朝出勤食事代",11,,,,借,仕,
H27.4.12,0,,"",826,"会　　議　　費",,,101,"現　　　　　金",,,540,"ドトールコーヒー　打合せ喫茶代",11,,,,借,仕,
H27.4.13,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.4.13,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,442,"事業用：㈱髙島屋　従業員おやつ代",11,,,,借,仕,
H27.4.13,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,3175,"事業用：㈱髙島屋　従業員残業食事代",11,,,,借,仕,
H27.4.13,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,623,"事業用：㈱髙島屋　従業員おやつ代",11,,,,借,仕,
H27.4.13,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,2079,"事業用：㈱髙島屋　従業員残業食事代",11,,,,借,仕,
H27.4.13,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,6053,"事業用：㈱髙島屋　従業員食事代",11,,,,借,仕,
H27.4.14,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,220,"事業用：ドトールコーヒー　従業員飲物代",11,,,,借,仕,
H27.4.14,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,1000,"ＪＲ東日本　スイカチャージ代",11,,,,借,仕,
H27.4.14,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,500,"事業用：崎陽軒　従業員おやつ代",11,,,,借,仕,
H27.4.14,0,,"",827,"新　聞　図書費",,,101,"現　　　　　金",,,570,"福家書店　書籍代",11,,,,借,仕,
H27.4.15,0,,"",613,"材　料　仕入高",,,101,"現　　　　　金",,,8540,"西小野和美　洋服修理代",11,,,,借,仕,
H27.4.16,0,,"",723,"通　　信　　費",1,"事業用：",101,"現　　　　　金",,,1020,"事業用：野辺地〒　レターパック代",11,,,,借,仕,
H27.4.16,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,220,"事業用：ドトールコーヒー　従業員お茶代",11,,,,借,仕,
H27.4.16,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,270,"事業用：ドトールコーヒー　従業員お茶代",11,,,,借,仕,
H27.4.1,0,,"",729,"地　代　家　賃",3,"駐車場：大久保駐車場",314,"未　　払　　金",7,"駐車場：大久保駐車場",25000,"４月分駐車場：大久保駐車場",11,,,,借,仕,
H27.4.17,0,,"",314,"未　　払　　金",7,"駐車場：大久保駐車場",101,"現　　　　　金",,,25000,"４月分駐車場：大久保駐車場",,,,,,,
H27.4.19,0,,"",829,"車　　両　　費",,,101,"現　　　　　金",,,2340,"セルフ反町ＳＳ　ガソリン代",11,,,,借,仕,
H27.4.20,0,,"",613,"材　料　仕入高",,,101,"現　　　　　金",,,210,"イオン東神奈川店　ファスナー代",11,,,,借,仕,
H27.4.20,0,,"",718,"運　　　　　賃",,,101,"現　　　　　金",,,4869,"ヤマト運輸㈱　商品送付代",11,,,,借,仕,
H27.4.20,0,,"",196,"店　主　勘　定",,,121,"横浜　普通預金",,,52100,"平成２６年度所得税",,,,,,,
H27.4.22,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,420,"共　通：ほんのり屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.4.22,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,220,"事業用：ドトールコーヒー　従業員お茶代",11,,,,借,仕,
H27.4.22,0,,"",827,"新　聞　図書費",,,101,"現　　　　　金",,,270,"福家書店　書籍代",11,,,,借,仕,
H27.4.23,0,,"",613,"材　料　仕入高",,,101,"現　　　　　金",,,6540,"西小野和美　洋服修理代",11,,,,借,仕,
H27.4.23,0,,"",613,"材　料　仕入高",,,101,"現　　　　　金",,,12420,"㈲かけはぎ工芸織本　かけはぎ代",11,,,,借,仕,
H27.4.23,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,1050,"事業用：ＫＩＯＳＫ　従業員おやつ代",11,,,,借,仕,
H27.4.1,0,,"",729,"地　代　家　賃",2,"駐車場：宮田千鶴子",314,"未　　払　　金",6,"駐車場：宮田千鶴子",16000,"４月分駐車場：宮田千鶴子",11,,,,借,仕,
H27.4.24,0,,"",314,"未　　払　　金",6,"駐車場：宮田千鶴子",101,"現　　　　　金",,,16000,"４月分駐車場：宮田千鶴子",,,,,,,
H27.4.24,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,349,"事業用：銀のぶどう　従業員おやつ代",11,,,,借,仕,
H27.4.24,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,1080,"事業用：銀のぶどう　従業員おやつ代",11,,,,借,仕,
H27.4.24,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,4080,"㈲只内クリーニング　クリーニング代",11,,,,借,仕,
H27.4.24,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,604,"イオン東神奈川店　ティッシュ代",11,,,,借,仕,
H27.4.25,0,,"",723,"通　　信　　費",1,"事業用：",101,"現　　　　　金",,,3120,"事業用：日本郵便㈱　往復ハガキ代",11,,,,借,仕,
H27.4.25,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,242,"共　通：ヴィドフランス　従業員早朝出勤食事代",11,,,,借,仕,
H27.4.27,0,,"",723,"通　　信　　費",1,"事業用：",101,"現　　　　　金",,,1080,"事業用：横浜西神奈川〒　レターパック代",11,,,,借,仕,
H27.4.27,0,,"",723,"通　　信　　費",1,"事業用：",101,"現　　　　　金",,,14,"事業用：横浜西神奈川〒　ハガキ交換差金",11,,,,借,仕,
H27.4.27,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,1230,"イオン東神奈川店　ファックスリボン代",11,,,,借,仕,
H27.4.27,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,390,"共　通：ドトールコーヒー　従業員早朝出勤食事代",11,,,,借,仕,
H27.4.28,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,558,"共　通：ヴィドフランス　従業員早朝出勤食事代",11,,,,借,仕,
H27.4.28,0,,"",723,"通　　信　　費",1,"事業用：",101,"現　　　　　金",,,127,"事業用：横浜西郵便　ハガキ交換差金",11,,,,借,仕,
H27.4.28,0,,"",827,"新　聞　図書費",,,101,"現　　　　　金",,,270,"福家書店　書籍代",11,,,,借,仕,
H27.4.29,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.4.29,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,324,"トップ　ポリ袋代",11,,,,借,仕,
H27.4.30,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,730,"㈱八重洲タクシー　タクシー代",11,,,,借,仕,
H27.4.30,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,1116,"事業用：珈琲館　従業員お茶代",11,,,,借,仕,
H27.4.1,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,310,"原　悦子　電車代：新城",11,,,,借,仕,
H27.4.9,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,310,"原　悦子　電車代：東神奈川→新城",11,,,,借,仕,
H27.4.13,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,310,"原　悦子　電車代：新城→東神奈川",11,,,,借,仕,
H27.4.28,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,210,"原　悦子　電車代：川崎",11,,,,借,仕,
H27.4.13,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,680,"事業用：㈱髙島屋　従業員飲物代",11,,,,借,仕,
H27.4.2,0,,"",314,"未　　払　　金",8,"トヨタ　アクア",121,"横浜　普通預金",,,44000,"トヨタ　アクア",,,,,,,
H27.4.17,0,,"",121,"横浜　普通預金",,,166,"売　　掛　　金",,,755852,"リフォームＳ㈱",,,,,,,
H27.4.17,0,,"",101,"現　　　　　金",,,121,"横浜　普通預金",,,200000,"現金引き出し",,,,,,,
H27.4.17,0,,"",733,"支　払　手数料",,,121,"横浜　普通預金",,,108,"横浜銀行　手数料",11,,,,借,仕,
H27.4.20,0,,"",101,"現　　　　　金",,,121,"横浜　普通預金",,,20000,"現金引き出し",,,,,,,
H27.4.20,0,,"",733,"支　払　手数料",,,121,"横浜　普通預金",,,216,"横浜銀行　手数料",11,,,,借,仕,
H27.4.21,0,,"",101,"現　　　　　金",,,121,"横浜　普通預金",,,350000,"現金引き出し",,,,,,,
H27.4.24,0,,"",101,"現　　　　　金",,,121,"横浜　普通預金",,,30000,"現金引き出し",,,,,,,
H27.4.24,0,,"",733,"支　払　手数料",,,121,"横浜　普通預金",,,108,"横浜銀行　手数料",11,,,,借,仕,
H27.4.27,0,,"",732,"保　　険　　料",,,121,"横浜　普通預金",,,2660,"ニッセイ同和損保　自動車保険",2,,,,借,仕,
H27.4.28,0,,"",733,"支　払　手数料",,,121,"横浜　普通預金",,,21600,"４月分さくら中央税理士法人",11,,,,借,仕,
H27.4.6,0,,"",723,"通　　信　　費",2,"共　通：",196,"店　主　勘　定",,,2127,"共　通：３月分ＮＴＴ　自宅電話代",11,,,,借,仕,
H27.4.30,0,,"",196,"店　主　勘　定",,,723,"通　　信　　費",2,"共　通：",638,"共　通：３月分ＮＴＴ　自宅電話代３０％経費不算入",11,,,,貸,仕,
H27.4.7,0,,"",831,"賃　　借　　料",2,"共　通：",196,"店　主　勘　定",,,14900,"共　通：４月分自宅家賃",2,,,,借,仕,
H27.4.30,0,,"",196,"店　主　勘　定",,,831,"賃　　借　　料",2,"共　通：",13410,"共　通：４月分自宅家賃９０％経費不算入",2,,,,貸,仕,
H27.4.30,0,,"",723,"通　　信　　費",3,"ドコモ　携帯電話代",196,"店　主　勘　定",,,18265,"共　通：４月分ドコモ　携帯電話代",11,,,,借,仕,
H27.4.30,0,,"",196,"店　主　勘　定",,,723,"通　　信　　費",3,"ドコモ　携帯電話代",1827,"共　通：４月分ドコモ　携帯電話代１０％経費不算入",11,,,,貸,仕,
H27.4.30,0,,"",724,"水　道　光熱費",2,"共　通：",196,"店　主　勘　定",,,5398,"共　通：４月分東京電力　自宅電気代",11,,,,借,仕,
H27.4.30,0,,"",196,"店　主　勘　定",,,724,"水　道　光熱費",2,"共　通：",4588,"共　通：４月分東京電力　自宅電気代８５％経費不算入",11,,,,貸,仕,
H27.4.30,0,,"",196,"店　主　勘　定",,,716,"福　利　厚生費",2,"共　通：",1740,"共　通：食事代３０％自己否認",11,,,,貸,仕,
H27.4.30,0,,"",734,"減　価　償却費",,,223,"減価償却累計額",,,27842,"減価償却費仮計上",4,,,,借貸,仕,
H27.4.30,0,,"",721,"旅　費　交通費",,,196,"店　主　勘　定",,,16500,"３／１〜３／３１　通勤高速代",11,,,,借,仕,
H27.4.30,0,,"",743,"専従者　給　与",1,"原昭夫",101,"現　　　　　金",,,80000,"４月分原昭夫",2,,,,借,仕,
H27.4.30,0,,"",720,"雑　　　　　給",111,"鈴木未央",999,"諸　　　　　口",,,74250,"４月分鈴木未央",4,,,,借,仕,
H27.4.30,0,,"",721,"旅　費　交通費",,,999,"諸　　　　　口",,,2040,"４月分鈴木未央・通勤費",11,,,,借,仕,
H27.4.30,0,,"",999,"諸　　　　　口",,,101,"現　　　　　金",,,76290,"４月分鈴木未央",,,,,,,
H27.4.30,0,,"",720,"雑　　　　　給",108,"利根川清子",999,"諸　　　　　口",,,9200,"４月分利根川清子",4,,,,借,仕,
H27.4.30,0,,"",721,"旅　費　交通費",,,999,"諸　　　　　口",,,2000,"４月分利根川清子・通勤費",11,,,,借,仕,
H27.4.30,0,,"",999,"諸　　　　　口",,,316,"預　　り　　金",1,"・給与源泉所得税",281,"４月分利根川清子・給与源泉所得税",,,,,,,
H27.4.30,0,,"",999,"諸　　　　　口",,,101,"現　　　　　金",,,10919,"４月分利根川清子",,,,,,,
H27.4.30,0,,"",196,"店　主　勘　定",,,101,"現　　　　　金",,,263902,"原　悦子",,,,,,,
H27.4.30,0,,"",999,"諸　　　　　口",,,511,"売　　上　　高",1,"　店加工売上",763899,"４月分リフォームＳ㈱　店加工売上",11,,,,貸,売,
H27.4.30,0,,"",999,"諸　　　　　口",,,511,"売　　上　　高",2,"　オーダー売上",65988,"４月分リフォームＳ㈱　オーダー売上",11,,,,貸,売,
H27.4.30,0,,"",999,"諸　　　　　口",,,511,"売　　上　　高",7,"　服飾（店手配）売上",10212,"４月分リフォームＳ㈱　服飾（店手配）売上",11,,,,貸,売,
H27.4.30,0,,"",999,"諸　　　　　口",,,511,"売　　上　　高",9,"　付属品売上",12700,"４月分リフォームＳ㈱　付属品売上",11,,,,貸,売,
H27.4.30,0,,"",999,"諸　　　　　口",,,511,"売　　上　　高",13,"　店売商品加工売上",431026,"４月分リフォームＳ㈱　店売商品加工売上",11,,,,貸,売,
H27.4.30,0,,"",532,"外　　注　　費",1,"　店加工売上",999,"諸　　　　　口",,,313196,"４月分リフォームＳ㈱　店加工売上",11,,,,借,仕,
H27.4.30,0,,"",532,"外　　注　　費",2,"　オーダー売上",999,"諸　　　　　口",,,16497,"４月分リフォームＳ㈱　オーダー売上",11,,,,借,仕,
H27.4.30,0,,"",532,"外　　注　　費",7,"　服飾（店手配）売上",999,"諸　　　　　口",,,2042,"４月分リフォームＳ㈱　服飾（店手配）売上",11,,,,借,仕,
H27.4.30,0,,"",532,"外　　注　　費",9,"　付属品売上",999,"諸　　　　　口",,,2540,"４月分リフォームＳ㈱　付属品売上",11,,,,借,仕,
H27.4.30,0,,"",532,"外　　注　　費",13,"　店売商品加工売上",999,"諸　　　　　口",,,107755,"４月分リフォームＳ㈱　店売商品加工売上",11,,,,借,仕,
H27.4.30,0,,"",732,"保　　険　　料",,,999,"諸　　　　　口",,,1270,"４月分リフォームＳ㈱　共済保険料",2,,,,借,仕,
H27.4.30,0,,"",732,"保　　険　　料",,,999,"諸　　　　　口",,,1500,"４月分リフォームＳ㈱　損害保険料",2,,,,借,仕,
H27.4.30,0,,"",727,"販　売　促進費",,,999,"諸　　　　　口",,,12960,"４月分リフォームＳ㈱　定額負担金",11,,,,借,仕,
H27.4.30,0,,"",724,"水　道　光熱費",1,"事業用：",999,"諸　　　　　口",,,13345,"事業用：４月分リフォームＳ㈱　店電気代",11,,,,借,仕,
H27.4.30,0,,"",831,"賃　　借　　料",1,"事業用：",999,"諸　　　　　口",,,7020,"事業用：４月分リフォームＳ㈱　店舗レジ使用料",11,,,,借,仕,
H27.4.30,0,,"",723,"通　　信　　費",1,"事業用：",999,"諸　　　　　口",,,3198,"４月分リフォームＳ㈱　店電話代",11,,,,借,仕,
H27.4.30,0,,"",999,"諸　　　　　口",,,813,"雑　　収　　入",,,100,"４月分リフォームＳ㈱　レジ現金過不足",4,,,,貸,売,
H27.4.30,0,,"",999,"諸　　　　　口",,,511,"売　　上　　高",998,"その他本部負担金",389,"４月分ＱＶＣ・ＨＰクーポン",11,,,,貸,売,
H27.4.30,0,,"",166,"売　　掛　　金",,,999,"諸　　　　　口",,,802991,"４月分リフォームＳ㈱",,,,,,,
H27.5.31,0,,"",743,"専従者　給　与",1,"原昭夫",101,"現　　　　　金",,,80000,"５月分原昭夫",2,,,,借,仕,
H27.5.31,0,,"",720,"雑　　　　　給",111,"鈴木未央",999,"諸　　　　　口",,,77400,"５月分鈴木未央",4,,,,借,仕,
H27.5.31,0,,"",721,"旅　費　交通費",,,999,"諸　　　　　口",,,2380,"５月分鈴木未央・通勤費",11,,,,借,仕,
H27.5.31,0,,"",999,"諸　　　　　口",,,101,"現　　　　　金",,,79780,"５月分鈴木未央",,,,,,,
H27.5.31,0,,"",720,"雑　　　　　給",108,"利根川清子",999,"諸　　　　　口",,,10000,"５月分利根川清子",4,,,,借,仕,
H27.5.31,0,,"",721,"旅　費　交通費",,,999,"諸　　　　　口",,,2000,"５月分利根川清子・通勤費",11,,,,借,仕,
H27.5.31,0,,"",999,"諸　　　　　口",,,316,"預　　り　　金",1,"・給与源泉所得税",306,"５月分利根川清子・給与源泉所得税",,,,,,,
H27.5.31,0,,"",999,"諸　　　　　口",,,101,"現　　　　　金",,,11694,"５月分利根川清子",,,,,,,
H27.1.25,0,,"",316,"預　　り　　金",1,"・給与源泉所得税",196,"店　主　勘　定",,,180,"鈴木未央・給与源泉所得税",,,,,,,
H27.5.1,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,390,"共　通：ドトールコーヒー　従業員早朝出勤食事代",11,,,,借,仕,
H27.5.1,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,310,"原　悦子　電車代：新城",11,,,,借,仕,
H27.5.5,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,310,"原　悦子　電車代：新城",11,,,,借,仕,
H27.5.7,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,310,"原　悦子　電車代：新城",11,,,,借,仕,
H27.5.10,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,310,"原　悦子　電車代：新城",11,,,,借,仕,
H27.5.11,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,210,"原　悦子　電車代：川崎",11,,,,借,仕,
H27.5.20,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,310,"原　悦子　電車代：新城",11,,,,借,仕,
H27.5.22,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,310,"原　悦子　電車代：新城",11,,,,借,仕,
H27.5.23,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,310,"原　悦子　電車代：新城",11,,,,借,仕,
H27.5.24,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,620,"原　悦子　電車代：新城（往復）",11,,,,借,仕,
H27.5.25,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,310,"原　悦子　電車代：新城→東神奈川",11,,,,借,仕,
H27.5.2,0,,"",829,"車　　両　　費",,,101,"現　　　　　金",,,3582,"セルフ反町ＳＳ　ガソリン代",11,,,,借,仕,
H27.5.5,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.5.5,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,887,"イオン東神奈川店　ポリ袋",11,,,,借,仕,
H27.5.5,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,205,"事業用：サンマルクカフェ　従業員お茶代",11,,,,借,仕,
H27.5.5,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,259,"事業用：サンマルクカフェ　従業員お茶代",11,,,,借,仕,
H27.5.6,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,6480,"事業用：カゴメ健康直送便　従業員飲物代",11,,,,借,仕,
H27.5.7,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,390,"共　通：ドトールコーヒー　従業員早朝出勤食事代",11,,,,借,仕,
H27.5.7,0,,"",826,"会　　議　　費",,,101,"現　　　　　金",,,1100,"ドトールコーヒー　打合せ食事代",11,,,,借,仕,
H27.5.7,0,,"",827,"新　聞　図書費",,,101,"現　　　　　金",,,270,"福家書店　書籍代",11,,,,借,仕,
